事業所コード,事業所名,役職区分,社員区分,社員番号,氏名,入社年,生年月日,対象者ID
1001,1001店,店長,パート,200000,,2016,1992-07-07,R200000
1002,1002店,店長,パート,200001,,2025,1972-02-13,R200001
1003,1003店,店長,社員,200002,,2009,2002-01-23,R200002
1004,1004店,店長,社員,200003,,2024,1977-08-01,R200003
1005,1005店,店長,アルバイト,200004,,2012,1988-03-18,R200004
1006,1006店,店長,アルバイト,200005,,2014,1987-03-18,R200005
1007,1007店,店長,アルバイト,200006,,2009,1998-10-14,R200006
1008,1008店,店長,アルバイト,200007,,2025,1993-01-23,R200007
1009,1009店,店長,パート,200008,,2005,1979-05-23,R200008
1010,1010店,店長,アルバイト,200009,,2011,1981-01-26,R200009
1011,1011店,店長,パート,200010,,2022,2004-11-05,R200010
1012,1012店,店長,アルバイト,200011,,2013,1981-10-14,R200011
1013,1013店,店長,社員,200012,,2012,1992-08-14,R200012
1014,1014店,店長,社員,200013,,2006,1988-06-11,R200013
1015,1015店,店長,アルバイト,200014,,2023,1980-10-20,R200014
1016,1016店,店長,アルバイト,200015,,2018,1990-04-13,R200015
1017,1017店,店長,社員,200016,,2014,1993-09-04,R200016
1018,1018店,店長,アルバイト,200017,,2012,1990-08-23,R200017
1019,1019店,店長,アルバイト,200018,,2006,1982-05-16,R200018
1020,1020店,店長,アルバイト,200019,,2011,1986-06-18,R200019
1001,1001店,店長,パート,200020,,2009,1974-03-24,R200020
1002,1002店,店長,アルバイト,200021,,2019,1997-06-19,R200021
1003,1003店,店長,社員,200022,,2021,1974-02-23,R200022
1004,1004店,店長,パート,200023,,2013,1970-11-09,R200023
1005,1005店,店長,パート,200024,,2025,1983-10-16,R200024
1006,1006店,店長,社員,200025,,2014,1992-12-10,R200025
1007,1007店,店長,アルバイト,200026,,2006,1989-01-23,R200026
1008,1008店,店長,社員,200027,,2010,2002-08-02,R200027
1009,1009店,店長,社員,200028,,2011,1973-12-27,R200028
1010,1010店,店長,アルバイト,200029,,2022,1986-07-18,R200029
1011,1011店,店長,パート,200030,,2012,1993-11-03,R200030
1012,1012店,店長,社員,200031,,2014,1976-06-06,R200031
1013,1013店,店長,社員,200032,,2025,1990-03-11,R200032
1014,1014店,店長,アルバイト,200033,,2012,1988-05-05,R200033
1015,1015店,社員,パート,200034,,2013,1986-10-22,R200034
1016,1016店,社員,アルバイト,200035,,2011,1993-04-08,R200035
1017,1017店,社員,社員,200036,,2008,1980-04-14,R200036
1018,1018店,社員,社員,200037,,2021,1999-05-14,R200037
1019,1019店,社員,社員,200038,,2019,1993-03-22,R200038
1020,1020店,社員,パート,200039,,2006,1994-05-18,R200039
1001,1001店,社員,アルバイト,200040,,2005,1986-09-15,R200040
1002,1002店,社員,アルバイト,200041,,2021,1974-03-05,R200041
1003,1003店,社員,社員,200042,,2023,2004-06-15,R200042
1004,1004店,社員,社員,200043,,2024,1982-02-15,R200043
1005,1005店,社員,アルバイト,200044,,2022,2002-01-18,R200044
1006,1006店,社員,パート,200045,,2014,1997-02-21,R200045
1007,1007店,社員,社員,200046,,2025,1979-08-10,R200046
1008,1008店,社員,アルバイト,200047,,2012,2000-09-07,R200047
1009,1009店,社員,パート,200048,,2024,1980-04-23,R200048
1010,1010店,社員,パート,200049,,2010,1992-12-17,R200049
1011,1011店,社員,アルバイト,200050,,2021,1977-03-03,R200050
1012,1012店,社員,パート,200051,,2024,2004-05-23,R200051
1013,1013店,社員,アルバイト,200052,,2024,1974-07-08,R200052
1014,1014店,社員,アルバイト,200053,,2021,1991-06-10,R200053
1015,1015店,社員,社員,200054,,2013,1994-03-04,R200054
1016,1016店,社員,アルバイト,200055,,2019,1997-07-13,R200055
1017,1017店,社員,パート,200056,,2025,2005-12-19,R200056
1018,1018店,社員,社員,200057,,2009,1987-04-17,R200057
1019,1019店,社員,アルバイト,200058,,2014,2001-07-26,R200058
1020,1020店,社員,社員,200059,,2018,2000-07-25,R200059
1001,1001店,社員,アルバイト,200060,,2006,1983-12-04,R200060
1002,1002店,社員,社員,200061,,2008,1997-06-05,R200061
1003,1003店,社員,社員,200062,,2006,1970-09-22,R200062
1004,1004店,社員,アルバイト,200063,,2011,1980-01-16,R200063
1005,1005店,社員,社員,200064,,2021,1970-06-09,R200064
1006,1006店,社員,パート,200065,,2018,1975-08-19,R200065
1007,1007店,社員,社員,200066,,2018,2004-04-05,R200066
1008,1008店,社員,アルバイト,200067,,2022,1974-07-06,R200067
1009,1009店,社員,パート,200068,,2005,2004-03-10,R200068
1010,1010店,社員,社員,200069,,2025,1972-07-20,R200069
1011,1011店,社員,社員,200070,,2012,1973-02-20,R200070
1012,1012店,社員,社員,200071,,2021,1974-04-28,R200071
1013,1013店,社員,アルバイト,200072,,2024,1982-09-16,R200072
1014,1014店,社員,社員,200073,,2017,1972-05-07,R200073
1015,1015店,社員,社員,200074,,2011,2005-11-24,R200074
1016,1016店,社員,アルバイト,200075,,2024,2002-12-13,R200075
1017,1017店,社員,パート,200076,,2018,1993-02-22,R200076
1018,1018店,社員,アルバイト,200077,,2022,1973-07-24,R200077
1019,1019店,社員,アルバイト,200078,,2017,1972-07-21,R200078
1020,1020店,社員,社員,200079,,2017,1993-09-19,R200079
1001,1001店,社員,パート,200080,,2005,1995-06-13,R200080
