,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,会社の満足度,職務満足度,会社の将来像への期待,顧客視点意識,貢献意欲,勤続意思,効果的チーム,理念・ビジョンの認知,理念・ビジョンの理解,公平な評価,活躍のチャンス,内容が変化に富んでいるか,技能多様性,タスク完結性,タスク重要性,自由・決定権があるか（自律性）,フィードバックはあるか,賃金の納得性,福利厚生の充実,ハラスメント,不平不満,社会的手抜き,安全管理,衛生管理,５Ｓ,労務管理,その他気になる箇所,知識付与（自身が受ける側）,部下育成知識（自身が教える側）,部下育成ツール（自身が教える側）,店長のリーダーシップ（指示型）,店長のリーダーシップ（支援・参加型）,店長のリーダーシップ（課題達成志向型）,店長の承認行動,店長の育成マインド,意見具申,上司の承認行動,上司の育成マインド,上司への意見具申,同僚との関係（フォロー）,同僚との関係（指摘）,同僚との関係（仕事以外）,同僚（他店店長）との関係,同僚（他店店長）との関係（指摘）,同僚（他店店長）との関係（仕事以外）,従業員のタイプ,権限委譲,公式化の度合い,傾聴スキル,役割の明確化,十分な資源,効果的なリーダーシップ,信頼関係のある環境,業績評価と報酬システム,メンバーの能力,パーソナリティ,役割の割り当て,多様性,チームの規模,メンバーの柔軟性,メンバーの嗜好,共通の目的,具体的な目標,チームの自信感,コンフリクトの程度
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,私は、総合的に会社に満足している,私は、総合的に職場・仕事に満足している,私は、会社の将来ビジョンに共感し、期待している,私は、お客さまに喜んでもらえることが何よりも嬉しい,私は、これからも会社に積極的に貢献していきたいと考えている,私は、今後もこの会社に勤めていたいと思う,チームは、メンバーのスキル、会社の支援が整い、生産性が高いと感じている,私は、会社の理念（お客様や地域に対する会社の想い）やビジョンを知っている,私は、会社の理念を私なりに理解して行動できていると思う,私の仕事に対する評価は、明確・公平にされていると感じる,私は今の仕事を通じて、社内で活躍するチャンスが大いにあると思う,日々、変化や刺激を感じられる仕事だと思う,仕事を通じていろいろなスキルを身につけることができるし、活かせると思う,私は、店舗業務の全体（人・モノ・金の管理）について自身で完結することができている,私の仕事は、会社にとって、お客さまにとって、大きな影響があり重要だと思う,私は、私の考えで計画、決定し、仕事を進めることが出来ていると思う,上司は、日頃から又は面談を通じて、自身の仕事について結果やアドバイス等のフィードバックをしてくれる,私は、今の賃金に納得している,私は、今の福利厚生に納得している,私の職場にはハラスメント行為（パワハラ、モラハラ、セクハラ等）がなく健全だと思う,私の職場には不平不満等をこぼす人がいない,私の職場には手抜きをしている人はいなく、みんな積極的に仕事をしていると思う,私の職場に、危険と思う箇所なはい,私の職場は、ウィルス対策や食中毒対策にしっかりと取組めていると思う,私の職場は、整理整頓が行き届き、清潔だと思う,私の職場は、休暇の取得や残業の改善が図られていると思う,その他、室温・湿度、照明、雑音など、特に気になる箇所はない,仕事に必要な知識について、会社が十分な教育の機会を与えてくれていると思う,私は部下やスタッフ教えるにあたり、十分な知識を得られていると思う,部下やスタッフを教えるにあたり、教育ツールなどの整備が行き届き、教えやすい環境だと思う,私は、スタッフに期待することや、やるべきことを具体的に細かく指示・指導するタイプだと思う ⇔ 【してほしい】,私は、スタッフの考えや思いに気を配り、提案も聞くタイプだと思う ⇔ 【考えを伝え一緒に取り組みたい】,私は、スタッフに期待し、高い目標を立てて全力を尽くすよう鼓舞するタイプだと思う ⇔ 【鼓舞してほしい】,私は、スタッフの仕事を良く観察し、スタッフの仕事について、日頃から又は面談を通じて承認行動をとっている ⇔ 【してくれている】,私は、スタッフを熱心に育成していると思う ⇔ 【してくれている】,私に対してスタッフが自分の意見を言うことができる関係性だと思う ⇔ 【思う】,上司は、わたしの仕事を良く見てくれ、わたしの仕事を認めてくれる,上司は、わたしを熱心に育成してくれていると思う,上司に対して自分の意見を言うことができる関係性だと思う,スタッフは、同僚同士、お互いフォローしあいながら仕事をしていると思う,スタッフは、同僚同士、お互い指摘し合える関係性だと思う,スタッフは、同僚同士、仕事に限らず仲良くしている,同僚（他店店長）とは、お互いフォローしあいながら仕事をしていると思う,同僚（他店店長）とは、お互い指摘し合える関係性だと思う,同僚（他店店長）とは、仕事に限らず仲良くしている,私は、社交的で人と仲良くなるのが得意なタイプだと思う,お客さまが喜ぶと思うサービスを自身の判断で行うことが出来ている,そのような判断をすることが、はっきり職務として明確になっている,私は、人と話すときは聴き手として相手の話を理解しようと努めている,私の仕事が、お客さまにどのようなサービスを提供する役割か、はっきりとわかっている,会社は店舗に対して、適切な設備・人員、奨励、事務支援など、十分な資源を提供してくれていると思う,店長に限らず、ときにはスタッフもリーダーとなり、チームを引っ張っている,メンバー同士（店長も含めて）で信頼感があると思う,努力に対する報酬は、個人よりもチーム（店舗）に対して行われている,専門的な能力を持つメンバー、問題解決や意思決定力に長けたメンバー、対人コミュニケーションを備えたメンバーなど、バランスよい構成だと思う,メンバーは、外向性、人当たりのよさ、誠実さ、安定した感情といったパーソナリティを備えている,メンバーの能力や好みを考慮して、それぞれが貢献できるように役割分担されている,メンバーは、それぞれの経験や考え方を出し合い協力して仕事を進めている,メンバーの人数はちょうどよく、面倒を見れないということはない,メンバーは、多能工化され、誰でも２つ以上のポジションを担当できる,メンバーは、チームで働くことを好むタイプで構成されている,チーム（店舗）が目指すビジョンが明確になっておりメンバーと共有・合意が出来ている,チーム（店舗）が目指すビジョンは、具体的で現実的な目標に落とし込まれている,チームは、目標達成に向けて自信を持って取り組んでいる,チームはいい意味で緊張感を持ち、お互いの考え方の違いについてよく話し合っている
実施月,本部コード,事業本部名,事業部コード,事業部名,課コード,課名,係コード,係名,エリアコード,エリア名,業種コード,業種名,業態コード,業態名,管理者コード,管理者名,事業所コード,事業所名,役職区分,社員区分,社員番号,氏名,入社年,生年月日,年代,在籍年数,匿名希望,is_admin,有効,アンケートフォーマット,対象者ID,適用開始日,適用終了日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200000,,1001,1001店,店長,パート,200000,,2016,1992/7/7,,9,0,1,1,,R200000,,,2,3,4,4,5,3,3,5,4,3,2,3,3,2,5,4,4,2,3,3,1,1,3,4,3,4,3,2,5,5,5,4,3,5,4,2,4,1,4,4,4,5,4,1,2,5,5,5,5,5,3,4,3,1,2,2,4,3,4,5,3,5,4,4,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200001,,1002,1002店,店長,パート,200001,,2025,1972/2/13,,20,0,1,1,,R200001,,,3,4,5,5,4,5,3,5,4,4,3,4,4,3,4,4,3,2,5,2,2,2,2,2,2,5,1,3,4,4,3,3,3,2,3,3,4,3,5,4,4,3,4,3,5,4,5,3,3,4,3,4,3,2,3,3,5,4,2,3,3,3,3,3,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200002,,1003,1003店,店長,社員,200002,,2009,2002/1/23,,14,0,1,1,,R200002,,,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,3,5,4,5,5,4,4,3,5,2,5,4,5,5,5,3,5,4,2,3,4,5,5,5,5,5,4,3,3,4,2,4,4,5,5,5,5,5,4,4,4,4,5,5,5,4,5,4,4,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200003,,1004,1004店,店長,社員,200003,,2024,1977/8/1,,16,0,1,1,,R200003,,,5,5,5,5,5,5,3,5,4,4,5,4,4,5,5,5,4,2,2,4,1,2,5,4,3,5,4,4,5,5,5,4,4,4,4,5,4,3,3,5,4,4,5,5,5,5,5,5,5,5,4,2,3,2,2,2,2,2,4,3,2,3,2,4,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200004,,1005,1005店,店長,アルバイト,200004,,2012,1988/3/18,,24,0,1,1,,R200004,,,5,5,5,5,5,5,3,5,4,5,5,4,3,4,3,3,3,4,5,4,4,5,5,5,3,5,5,5,3,3,3,5,3,3,3,4,3,3,3,5,5,5,5,4,5,3,4,3,4,3,4,3,4,3,4,3,4,3,5,3,4,3,3,3,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200005,,1006,1006店,店長,アルバイト,200005,,2014,1987/3/18,,11,0,1,1,,R200005,,,4,4,4,4,4,4,3,4,4,5,4,4,3,4,3,4,4,5,3,4,4,3,3,2,4,3,2,2,4,3,3,4,2,4,3,5,4,3,5,5,5,5,4,4,3,4,4,4,4,4,3,2,4,3,3,3,4,2,2,4,4,4,4,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200006,,1007,1007店,店長,アルバイト,200006,,2009,1998/10/14,,18,0,1,1,,R200006,,,4,4,5,5,5,5,3,5,5,3,4,4,4,4,5,3,4,3,3,3,2,4,4,5,4,5,3,5,4,2,5,4,4,5,5,4,4,3,5,4,3,4,5,5,5,5,5,5,5,5,4,5,3,3,3,2,4,4,4,5,4,3,4,3,2
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200007,,1008,1008店,店長,アルバイト,200007,,2025,1993/1/23,,22,0,1,1,,R200007,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,3,3,4,4,5,5,4,3,5,5,5,4,5,4,4,4,4,3,4,4,5,4,4,4,4,4,5,5,5,5,5,5,4,5,3,4,4,4,4,5,5,3,4,4,5,3
